dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
ARITH,Falcon3-3B-Base,0.8158,0.0625,0.0766,-0.3158,+0.4375,+0.9234,-0.0125,-0.0275,-0.0330,+0.0000,+0.0000,+0.0000
ARITH,Falcon3-3B-Instruct,0.7908,0.0342,0.0432,-0.1017,+0.2717,+0.4006,+0.0142,-0.0125,-0.0163,+0.0317,+0.0067,+0.0064
ARITH,Falcon3-10B-Base,0.8442,0.1075,0.1273,-0.3442,+0.3925,+0.8727,-0.0008,-0.0625,-0.0740,+0.0058,-0.0558,-0.0666
ARITH,Falcon3-10B-Instruct,0.8283,0.1533,0.1851,-0.3283,+0.3467,+0.8149,+0.0392,-0.0958,-0.1188,+0.0417,-0.0933,-0.1161
ARITH,Llama-3.1-8B,0.7017,0.2000,0.2850,-0.2017,+0.3000,+0.7150,+0.0692,-0.1758,-0.2537,+0.0717,-0.1867,-0.2678
ARITH,Llama-3.1-8B-Instruct,0.7158,0.2642,0.3690,+0.1208,-0.2275,-0.3252,+0.1092,-0.2008,-0.2923,+0.1067,-0.2017,-0.2930
ARITH,Llama-3.1-70B,0.9333,0.0050,0.0054,-0.3783,+0.4400,+0.7964,-0.0042,-0.0008,-0.0009,-0.0008,+0.0025,+0.0027
ARITH,Llama-3.1-70B-Instruct,0.6808,0.3158,0.4639,+0.1975,-0.2675,-0.4089,+0.1867,-0.2633,-0.4034,+0.1958,-0.2775,-0.4202
ARITH,gemma-3-27b-pt,0.8858,0.0892,0.1007,-0.0658,+0.0825,+0.1087,+0.0183,-0.0833,-0.0942,+0.0292,-0.0775,-0.0879
ARITH,gemma-3-27b-it,0.9775,0.0058,0.0060,+0.0000,-0.0050,-0.0051,-0.0042,-0.0025,-0.0025,-0.0008,-0.0042,-0.0043
ARITH,gemma-3-12b-pt,0.7908,0.1692,0.2139,+0.0075,+0.0092,+0.0095,+0.0508,-0.1542,-0.1961,+0.0617,-0.1617,-0.2051
ARITH,gemma-3-12b-it,0.8058,0.1858,0.2306,+0.0550,-0.0883,-0.1173,+0.0617,-0.1050,-0.1374,+0.0642,-0.1058,-0.1387
BABI,Falcon3-3B-Base,0.7708,0.1842,0.2389,-0.2708,+0.3158,+0.7611,+0.0667,-0.1500,-0.1981,+0.0683,-0.1517,-0.2002
BABI,Falcon3-3B-Instruct,0.7867,0.2033,0.2585,-0.0258,-0.0625,-0.0734,+0.0408,-0.2025,-0.2575,+0.0442,-0.1858,-0.2374
BABI,Falcon3-10B-Base,0.8667,0.0733,0.0846,-0.3667,+0.4267,+0.9154,+0.0358,-0.0658,-0.0763,+0.0442,-0.0658,-0.0764
BABI,Falcon3-10B-Instruct,0.8950,0.0433,0.0484,-0.3117,+0.3633,+0.6487,+0.0092,-0.0192,-0.0217,+0.0117,-0.0167,-0.0190
BABI,Llama-3.1-8B,0.8042,0.0825,0.1026,-0.3042,+0.4175,+0.8974,-0.0033,-0.0667,-0.0828,-0.0083,-0.0617,-0.0764
BABI,Llama-3.1-8B-Instruct,0.8358,0.1108,0.1326,+0.0058,-0.0808,-0.0970,+0.0183,-0.1067,-0.1277,+0.0225,-0.0975,-0.1171
BABI,Llama-3.1-70B,0.8500,0.0683,0.0804,-0.1658,+0.2392,+0.3691,+0.0058,-0.0158,-0.0190,-0.0025,-0.0042,-0.0047
BABI,Llama-3.1-70B-Instruct,0.9267,0.0317,0.0342,-0.0550,+0.0383,+0.0461,-0.0183,-0.0083,-0.0085,-0.0183,-0.0067,-0.0066
BABI,gemma-3-27b-pt,0.8342,0.1208,0.1449,-0.1050,+0.1350,+0.2060,+0.0217,-0.1183,-0.1419,+0.0200,-0.1050,-0.1263
BABI,gemma-3-27b-it,0.9067,0.0100,0.0110,-0.0042,-0.0058,-0.0064,+0.0067,+0.0167,+0.0182,+0.0083,+0.0150,+0.0163
BABI,gemma-3-12b-pt,0.7642,0.2042,0.2672,-0.0183,-0.0067,-0.0024,+0.0683,-0.1617,-0.2161,+0.0733,-0.1750,-0.2323
BABI,gemma-3-12b-it,0.9058,0.0858,0.0948,+0.0225,-0.0625,-0.0696,+0.0183,-0.0550,-0.0614,+0.0242,-0.0525,-0.0589
